,site_name,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
0,,,,,,,,,,,
1,biyoulabox.xyz,小説,コンテスト,作品,無料,新規,会員登録,コミック,magazine,ランキング,ツイート
2,blog.goo.ne.jp,asset,medical,note,158510,5071,201595,20181225,20190113,20190128,ldlã
3,otonanswer.jp,1659,goo,blog,ランキング,ジャンル,テンプレート,gooブログ,新規作成,使い方,動画
4,www.hpfree.com,くじ,2018年,抽せん,全国自治宝くじ,2019年,宝くじ,01,08,31日,毎週
5,tsuyaplus.jp,くじ,宝くじ,ミニ,ジャンボ宝くじ,案内,バレンタイン,当選番号,ビッグチャンス,速報,宝くじの日
6,maho.jp,02,2019年,ビューティー,つや,ヘア,フード,ライフスタイル,美容,40代,全般
7,jyanich.com,漫画,エンタメ,201926,反響,new,ライフ,pr,201923,ショット,見る
8,www.jabezadvisory.com,山口達也,tokio,復帰,鉄腕dash,目撃,復活,楽器,する,dash海岸,長瀬
9,db.sp.netkeiba.com,モエロウエクラ,競走馬,勝率,データベース,代表,連対,レース,コラム,pog,プレミアム
10,medicalnote.jp,9月10日,2018年,18位,7位,14位,5位,15位,16位,17位,4位
